time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-09-01T13:24:45.100Z,23.8865,121.5205,19.11,5,mww,,35,0.294,0.79,us,us20003fck,2016-11-10T21:50:10.118Z,"13km SW of Hualian, Taiwan",earthquake,5.2,3.7,,,reviewed,us,us
2015-08-13T14:08:00.070Z,23.9689,122.4897,17.32,5.6,mww,,81,0.687,0.97,us,us100031xw,2016-11-10T21:49:45.012Z,"75km SW of Yonakuni, Japan",earthquake,4.4,2.7,,,reviewed,us,us
2015-08-12T01:46:32.430Z,24.5582,122.445,88.4,4.1,mb,,64,0.523,0.68,us,us100034xm,2015-11-06T18:06:29.040Z,"57km W of Yonakuni, Japan",earthquake,4.8,6.1,0.158,11,reviewed,us,us
2015-08-08T00:03:02.480Z,23.9117,122.4955,27.1,4.2,mb,,124,0.726,0.96,us,us100034rb,2015-11-06T18:06:29.040Z,"80km SW of Yonakuni, Japan",earthquake,5.7,7,0.236,5,reviewed,us,us
2015-08-07T08:40:57.240Z,25.0239,122.3307,126.97,4.2,mb,,62,0.758,0.72,us,us100034ps,2015-11-06T18:06:29.040Z,"60km E of Keelung, Taiwan",earthquake,6.7,6.2,0.152,12,reviewed,us,us
2015-08-07T04:24:32.200Z,23.9547,122.4441,19.66,4,mb,,119,0.727,0.6,us,us100034pk,2015-11-06T18:06:29.040Z,"80km SW of Yonakuni, Japan",earthquake,5.6,4.9,0.212,6,reviewed,us,us
2015-07-28T06:59:11.940Z,24.3924,121.4441,10,4.5,mb,,61,0.257,0.9,us,us200030qw,2015-10-22T20:05:09.040Z,"47km WSW of Su'ao, Taiwan",earthquake,5.6,1.1,0.124,19,reviewed,us,us
2015-07-25T10:25:36.400Z,23.1259,121.4563,22.61,4.3,mb,,63,0.303,0.63,us,us100031ym,2015-10-22T20:04:58.040Z,"51km NE of Taitung City, Taiwan",earthquake,3.9,5.6,0.138,18,reviewed,us,us
2015-07-22T16:26:14.130Z,23.9069,121.4648,13.99,4,mb,,129,0.291,0.9,us,us1000310f,2015-10-14T21:05:50.040Z,"16km WSW of Hualian, Taiwan",earthquake,2,4,0.259,4,reviewed,us,us
2015-07-10T09:38:50.100Z,23.22,120.47,6.8,4.4,mb,,,,1.03,us,us200031bm,2015-10-09T20:19:10.040Z,"10km N of Yujing, Taiwan",earthquake,5.3,4.7,0.12,20,reviewed,tap,us
