time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-20T13:56:35.100Z,38.1832,-117.7612,6.9,2.8,ml,21,70.13,0.133,0.19,nn,nn00729408,2020-05-20T13:59:50.528Z,"48km WNW of Tonopah, Nevada",earthquake,,18.2,,,automatic,nn,nn
2020-05-20T13:54:34.240Z,38.1765,-117.947,4,2.6,ml,29,58.57,0.046,0.13,nn,nn00729404,2020-05-20T13:58:11.437Z,"64km W of Tonopah, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-05-20T13:46:49.519Z,-16.1594,-173.4582,72.76,5.1,mww,,57,4.444,1.06,us,us70009lpe,2020-05-20T14:08:16.040Z,"38km SE of Hihifo, Tonga",earthquake,8.8,5.3,0.098,10,reviewed,us,us
2020-05-20T13:39:54.253Z,38.185,-118.0613,2.8,2.9,ml,27,48.47,0.092,0.391,nn,nn00729392,2020-05-20T13:43:14.646Z,"62km SE of Hawthorne, Nevada",earthquake,,0.6,0.36,22,reviewed,nn,nn
2020-05-20T13:34:55.234Z,38.1978,-117.7504,9.3,3.3,ml,23,58.08,0.126,0.1472,nn,nn00729383,2020-05-21T02:20:15.102Z,"47km WNW of Tonopah, Nevada",earthquake,,1.1,0.43,7,reviewed,nn,nn
2020-05-20T13:16:14.450Z,17.9755,-66.9735,6,2.59,md,13,175,0.071,0.19,pr,pr2020141007,2020-05-20T13:36:39.933Z,"6km W of Guanica, Puerto Rico",earthquake,0.8,0.43,0.2,6,reviewed,pr,pr
2020-05-20T13:12:29.790Z,38.1658,-117.7538,7.1,2.7,ml,22,78.03,0.118,0.18,nn,nn00729366,2020-05-20T13:16:11.235Z,"47km WNW of Tonopah, Nevada",earthquake,,16.3,,,automatic,nn,nn
2020-05-20T12:59:28.104Z,38.2204,-117.7898,6.5,2.7,ml,22,50.77,0.156,0.1926,nn,nn00729354,2020-05-21T02:12:26.252Z,"51km WNW of Tonopah, Nevada",earthquake,,1.5,0.69,6,reviewed,nn,nn
2020-05-20T12:52:07.923Z,38.209,-117.7394,8,3.3,ml,23,60.09,0.135,0.1447,nn,nn00729347,2020-05-21T02:18:47.224Z,"47km WNW of Tonopah, Nevada",earthquake,,1.4,0.29,7,reviewed,nn,nn
2020-05-20T12:45:07.793Z,5.2691,126.106,92.76,5,mww,,82,1.864,0.76,us,us70009lmq,2020-05-20T13:45:06.768Z,"72km ESE of Sarangani, Philippines",earthquake,7.6,6.1,0.083,14,reviewed,us,us
2020-05-20T12:41:59.837Z,38.2047,-117.7442,7.7,3.2,ml,23,72.58,0.131,0.1616,nn,nn00729339,2020-05-21T02:12:21.188Z,"47km WNW of Tonopah, Nevada",earthquake,,1.8,0.34,7,reviewed,nn,nn
2020-05-20T12:40:37.130Z,38.209,-117.7428,5.7,2.9,ml,12,123.06,0.133,0.03,nn,nn00729337,2020-05-20T12:47:28.262Z,"47km WNW of Tonopah, Nevada",earthquake,,1,,,automatic,nn,nn
